时间标识,帧ID,数据
2026-04-24 12:55:12.487.637,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:12.488.129,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:12.488.626,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.489.126,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:12.489.618,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:12.490.107,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:12.490.591,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.491.087,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.548.741,2,00 01 00 00 00 00 80 1b
2026-04-24 12:55:12.564.854,1b1,3e 24 b3 13 f0
2026-04-24 12:55:12.578.893,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:12.610.840,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.636.739,2,00 01 00 00 00 00 80 1b
2026-04-24 12:55:12.664.848,1b1,3e 24 b3 13 f0
2026-04-24 12:55:12.715.381,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:12.724.737,2,00 01 00 00 00 00 80 1c
2026-04-24 12:55:12.764.870,731,05
2026-04-24 12:55:12.765.102,1b1,3e 24 b3 13 f0
2026-04-24 12:55:12.783.058,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.783.642,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.784.223,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:12.810.825,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:12.812.733,2,00 01 00 00 00 00 80 1c
2026-04-24 12:55:12.864.874,1b1,3e 24 b3 13 f0
2026-04-24 12:55:12.900.733,2,00 01 00 00 00 00 80 1d
2026-04-24 12:55:12.964.895,1b1,3e 24 b3 13 f0
2026-04-24 12:55:12.978.870,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:12.988.730,2,00 01 00 00 00 00 80 1d
2026-04-24 12:55:13.015.365,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.064.890,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.076.729,2,00 01 00 00 00 00 80 1e
2026-04-24 12:55:13.083.058,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:13.083.635,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:13.084.215,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.084.799,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:13.085.367,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:13.085.940,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:13.086.504,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:13.087.068,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:13.087.633,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:13.088.125,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:13.088.621,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.089.122,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:13.089.614,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:13.090.102,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:13.090.586,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.091.082,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.110.809,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:13.164.727,2,00 01 00 00 00 00 80 1e
2026-04-24 12:55:13.165.236,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.215.353,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.252.724,2,00 03 00 00 00 00 80 1e
2026-04-24 12:55:13.264.917,731,05
2026-04-24 12:55:13.265.149,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.340.723,2,00 03 00 00 00 00 80 1f
2026-04-24 12:55:13.364.908,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.383.052,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.383.636,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.384.216,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:13.384.705,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:13.415.343,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.428.718,2,00 03 00 00 00 00 80 1f
2026-04-24 12:55:13.464.928,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.515.337,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:13.516.717,2,00 03 00 00 00 00 80 20
2026-04-24 12:55:13.564.926,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.604.717,2,00 03 00 00 00 00 80 20
2026-04-24 12:55:13.610.781,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.664.947,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.683.051,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:13.683.627,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:13.684.207,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.684.791,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:13.685.360,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:13.685.932,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:13.686.496,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:13.687.060,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:13.687.625,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:13.688.117,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:13.688.613,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.689.113,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:13.689.605,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:13.690.093,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:13.690.578,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.691.074,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.692.713,2,00 03 00 00 00 00 80 21
2026-04-24 12:55:13.764.943,731,05
2026-04-24 12:55:13.765.175,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.778.826,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:13.780.710,2,00 03 00 00 00 00 80 21
2026-04-24 12:55:13.810.773,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.864.946,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.868.710,2,00 03 00 00 00 00 80 21
2026-04-24 12:55:13.910.768,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:13.956.707,2,00 03 00 00 00 00 80 22
2026-04-24 12:55:13.964.968,1b1,3e 24 b3 13 f0
2026-04-24 12:55:13.983.048,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.983.632,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:13.984.212,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:14.010.762,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.044.706,2,00 03 00 00 00 00 80 22
2026-04-24 12:55:14.064.966,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.132.705,2,00 03 00 00 00 00 80 23
2026-04-24 12:55:14.164.986,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.178.805,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:14.210.751,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.220.703,2,00 03 00 00 00 00 80 23
2026-04-24 12:55:14.264.984,731,05
2026-04-24 12:55:14.265.216,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.283.044,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:14.283.621,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:14.284.201,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.284.785,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:14.285.353,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:14.285.925,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:14.286.490,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:14.287.054,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:14.287.618,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:14.288.111,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:14.288.607,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.289.107,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:14.289.599,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:14.290.087,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:14.290.571,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.291.068,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.308.699,2,00 03 00 00 00 00 80 24
2026-04-24 12:55:14.315.295,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:14.364.988,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.396.699,2,00 03 00 00 00 00 80 24
2026-04-24 12:55:14.410.739,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.465.012,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.484.695,2,00 03 00 00 00 00 80 25
2026-04-24 12:55:14.565.010,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.572.693,2,00 03 00 00 00 00 80 25
2026-04-24 12:55:14.578.782,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:14.583.042,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.583.626,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.584.206,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:14.610.729,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.660.691,2,00 03 00 00 00 00 80 25
2026-04-24 12:55:14.665.028,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.710.722,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:14.748.689,2,00 03 00 00 00 00 80 26
2026-04-24 12:55:14.765.029,731,05
2026-04-24 12:55:14.765.261,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.815.267,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.836.686,2,00 03 00 00 00 00 80 26
2026-04-24 12:55:14.865.031,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.883.039,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:14.883.616,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:14.884.196,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.884.780,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:14.885.348,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:14.885.921,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:14.886.485,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:14.887.050,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:14.887.614,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:14.888.106,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:14.888.602,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.889.102,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:14.889.595,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:14.890.083,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:14.890.567,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.891.063,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:14.924.686,2,00 03 00 00 00 00 80 27
2026-04-24 12:55:14.965.055,1b1,3e 24 b3 13 f0
2026-04-24 12:55:14.978.759,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:15.012.682,2,00 03 00 00 00 00 80 27
2026-04-24 12:55:15.015.254,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.065.051,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.100.682,2,00 03 00 00 00 00 80 28
2026-04-24 12:55:15.115.249,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:15.165.075,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.183.035,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.183.619,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.184.199,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:15.188.679,2,00 03 00 00 00 00 80 28
2026-04-24 12:55:15.210.694,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.265.067,731,05
2026-04-24 12:55:15.265.299,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.276.675,2,00 03 00 00 00 00 80 28
2026-04-24 12:55:15.364.673,2,00 03 00 00 00 00 80 29
2026-04-24 12:55:15.365.169,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.378.736,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:15.410.687,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.452.674,2,00 03 00 00 00 00 80 29
2026-04-24 12:55:15.465.082,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.483.030,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:15.483.607,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:15.484.187,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.484.771,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:15.485.339,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:15.485.911,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:15.486.475,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:15.487.039,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:15.487.603,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:15.488.096,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:15.488.592,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.489.092,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:15.489.584,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:15.490.072,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:15.490.556,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.491.053,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.515.227,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:15.540.671,2,00 03 00 00 00 00 80 2a
2026-04-24 12:55:15.565.104,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.610.674,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.628.669,2,00 03 00 00 00 00 80 2a
2026-04-24 12:55:15.665.102,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.716.665,2,00 03 00 00 00 00 80 2b
2026-04-24 12:55:15.765.122,731,05
2026-04-24 12:55:15.765.354,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.778.718,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:15.783.030,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.783.614,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.784.194,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:15.804.662,2,00 03 00 00 00 00 80 2b
2026-04-24 12:55:15.810.662,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:15.865.127,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.892.662,2,00 03 00 00 00 00 80 2c
2026-04-24 12:55:15.910.658,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:15.965.123,1b1,3e 24 b3 13 f0
2026-04-24 12:55:15.980.658,2,00 03 00 00 00 00 80 2c
2026-04-24 12:55:16.010.653,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.065.146,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.068.658,2,00 03 00 00 00 00 80 2c
2026-04-24 12:55:16.083.026,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:16.083.602,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:16.084.182,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.084.766,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:16.085.334,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:16.085.906,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:16.086.471,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:16.087.035,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:16.087.599,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:16.088.091,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:16.088.588,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.089.088,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:16.089.580,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:16.090.068,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:16.090.552,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.091.049,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.156.655,2,00 03 00 00 00 00 80 2d
2026-04-24 12:55:16.165.144,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.178.695,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:16.210.641,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.244.652,2,00 03 00 00 00 00 80 2d
2026-04-24 12:55:16.265.165,731,05
2026-04-24 12:55:16.265.397,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.310.634,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:16.332.650,2,00 03 00 00 00 00 80 2e
2026-04-24 12:55:16.365.171,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.383.023,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.383.607,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.384.187,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:16.415.177,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.420.649,2,00 03 00 00 00 00 80 2e
2026-04-24 12:55:16.465.166,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.508.645,2,00 03 00 00 00 00 80 2f
2026-04-24 12:55:16.565.167,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.583.149,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:16.596.645,2,00 03 00 00 00 00 80 2f
2026-04-24 12:55:16.615.168,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.665.185,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.683.017,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:16.683.593,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:16.684.174,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.684.758,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:16.685.326,2,00 03 00 00 00 00 80 2f
2026-04-24 12:55:16.685.819,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:16.686.391,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:16.686.955,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:16.687.519,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:16.688.083,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:16.688.575,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:16.689.071,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.689.572,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:16.690.064,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:16.690.552,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:16.691.036,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.691.532,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.710.611,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:16.765.184,731,05
2026-04-24 12:55:16.765.416,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.772.640,2,00 03 00 00 00 00 80 30
2026-04-24 12:55:16.810.606,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.860.637,2,00 03 00 00 00 00 80 30
2026-04-24 12:55:16.865.213,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.948.635,2,00 03 00 00 00 00 80 31
2026-04-24 12:55:16.965.212,1b1,3e 24 b3 13 f0
2026-04-24 12:55:16.978.651,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:16.983.015,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.983.600,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:16.984.180,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:17.015.146,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.036.634,2,00 03 00 00 00 00 80 31
2026-04-24 12:55:17.065.206,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.115.139,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:17.124.631,2,00 03 00 00 00 00 80 32
2026-04-24 12:55:17.165.228,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.210.586,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.212.629,2,00 03 00 00 00 00 80 32
2026-04-24 12:55:17.265.227,731,05
2026-04-24 12:55:17.265.459,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.283.011,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:17.283.587,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:17.284.167,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.284.752,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:17.285.320,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:17.285.892,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:17.286.456,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:17.287.020,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:17.287.585,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:17.288.077,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:17.288.573,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.289.074,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:17.289.566,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:17.290.054,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:17.290.538,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.291.034,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.300.629,2,00 03 00 00 00 00 80 33
2026-04-24 12:55:17.366.243,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.383.106,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:17.388.626,2,00 03 00 00 00 00 80 33
2026-04-24 12:55:17.415.121,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.466.242,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.476.622,2,00 03 00 00 00 00 80 33
2026-04-24 12:55:17.515.116,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:17.564.623,2,00 03 00 00 00 00 80 34
2026-04-24 12:55:17.566.263,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.583.011,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.583.596,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.584.176,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:17.610.563,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.652.618,2,00 03 00 00 00 00 80 34
2026-04-24 12:55:17.666.267,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.740.617,2,00 03 00 00 00 00 80 35
2026-04-24 12:55:17.766.286,731,05
2026-04-24 12:55:17.766.517,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.778.605,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:17.810.551,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.828.615,2,00 03 00 00 00 00 80 35
2026-04-24 12:55:17.866.288,1b1,3e 24 b3 13 f0
2026-04-24 12:55:17.883.008,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:17.883.584,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:17.884.164,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.884.748,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:17.885.316,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:17.885.888,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:17.886.452,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 12:55:17.887.016,18f188a0,02 02 02 02 00 02 02 02
2026-04-24 12:55:17.887.581,181,00 01 00 10 5a 00 00 00
2026-04-24 12:55:17.888.073,182,00 00 03 00 02 00 01 00
2026-04-24 12:55:17.888.569,183,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.889.069,184,34 00 00 00 00 00 00 37
2026-04-24 12:55:17.889.561,185,00 00 00 00 00 00 da 00
2026-04-24 12:55:17.890.050,186,00 00 03 02 01 02 02 02
2026-04-24 12:55:17.890.534,191,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.891.030,192,00 00 00 00 00 00 00 00
2026-04-24 12:55:17.915.093,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:17.916.612,2,00 03 00 00 00 00 80 36
2026-04-24 12:55:17.966.286,1b1,3e 24 b3 13 f0
2026-04-24 12:55:18.004.613,2,00 03 00 00 00 00 80 36
2026-04-24 12:55:18.010.541,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:18.066.306,1b1,3e 24 b3 13 f0
2026-04-24 12:55:18.092.609,2,00 03 00 00 00 00 80 36
2026-04-24 12:55:18.166.307,1b1,3e 24 b3 13 f0
2026-04-24 12:55:18.178.582,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:18.180.606,2,00 03 00 00 00 00 80 37
2026-04-24 12:55:18.183.003,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:18.183.587,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:18.184.168,11d,01 03 00 00 00 01 84 0a
2026-04-24 12:55:18.210.530,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:18.266.323,731,05
2026-04-24 12:55:18.266.555,1b1,3e 24 b3 13 f0
2026-04-24 12:55:18.268.603,2,00 03 00 00 00 00 80 37
2026-04-24 12:55:18.310.525,18d,00 00 00 00 00 00 01 00
2026-04-24 12:55:18.356.604,2,00 03 00 00 00 00 80 38
2026-04-24 12:55:18.366.332,1b1,3e 24 b3 13 f0
2026-04-24 12:55:18.415.069,18d,00 00 00 00 00 00 00 00
2026-04-24 12:55:18.444.601,2,00 03 00 00 00 00 80 38
2026-04-24 12:55:18.466.326,1b1,3e 24 b3 13 f0
2026-04-24 12:55:18.483.002,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 12:55:18.483.578,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 12:55:18.484.158,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 12:55:18.484.743,18f184a0,0c 00 00 00 3c 00 00 0f
2026-04-24 12:55:18.485.311,18f185a0,00 00 00 00 00 00 00 da
2026-04-24 12:55:18.485.883,18f186a0,02 02 03 02 01 cc 0c 00
2026-04-24 12:55:18.486.448,18f187a0,02 02 02 02 02 02 02 02
